Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH,pH_predicho,Error_abs,Error_pct
Urea,g/L,0.28,-0.0184,3.09,3.17822364085137,-0.08822364085137036,2.855134008134963
Urea,g/L,0.28,-0.0183,3.09,3.183383019885996,-0.09338301988599618,3.022104203430297
Urea,g/L,0.28,-0.0182,3.09,3.188433289746985,-0.09843328974698506,3.185543357507607
Urea,g/L,0.28,-0.018,3.09,3.198197940178514,-0.10819794017851425,3.50155146208784
Urea,g/L,0.28,-0.0179,3.1,3.2029083127490248,-0.10290831274902468,3.319622991904022
Urea,g/L,0.28,-0.0178,3.1,3.2075015601458365,-0.10750156014583645,3.467792262768918
Urea,g/L,0.28,-0.0177,3.1,3.211975951253648,-0.11197595125364801,3.6121274597950968
Urea,g/L,0.28,-0.0176,3.1,3.216329864111075,-0.11632986411107504,3.7525762616475817
Urea,g/L,0.28,-0.0174,3.1,3.2246703129986427,-0.12467031299864262,4.021622999956214
Urea,g/L,0.28,-0.0173,3.11,3.2286541508754474,-0.1186541508754475,3.815246008856833
Urea,g/L,0.28,-0.0172,3.11,3.232512114195197,-0.12251211419519725,3.939296276372902
Urea,g/L,0.28,-0.0171,3.11,3.2362431267659453,-0.1262431267659454,4.059264526236187
Urea,g/L,0.28,-0.017,3.12,3.2398462215496604,-0.11984622154966029,3.841225049668599
Urea,g/L,0.28,-0.0168,3.12,3.2466653353732307,-0.12666533537323055,4.059786390167646
Urea,g/L,0.28,-0.0167,3.12,3.2498799661064512,-0.12987996610645114,4.162819426488818
Urea,g/L,0.28,-0.0166,3.12,3.2529639024393635,-0.1329639024393634,4.261663539723186
Urea,g/L,0.28,-0.0165,3.13,3.2559167231033763,-0.12591672310337643,4.022898501705317
Urea,g/L,0.28,-0.0164,3.13,3.2587381159837836,-0.1287381159837837,4.113038849322163
Urea,g/L,0.28,-0.0162,3.13,3.263985915704487,-0.13398591570448692,4.280700182251978
Urea,g/L,0.28,-0.0161,3.13,3.2664122440848367,-0.13641224408483676,4.358218660857405
Urea,g/L,0.28,-0.016,3.14,3.2687069877617168,-0.12870698776171663,4.09894865483174
Urea,g/L,0.28,-0.0159,3.14,3.270870380389884,-0.13087038038988386,4.167846509231969
